,Unnamed: 0,marca,nombre,presentacion,producto_id,precio,sucursal_id,semana,comercioid,banderaid,banderadescripcion,comerciorazonsocial,provincia,localidad,direccion,lat,lng,sucursalnombre,sucursaltipo
0,0,LA ANÓNIMA,Radicheta Atada La Anonima 1 Un,1.0 un,1663,29.9,2-1-014,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-U,Puerto Madryn,H.Yrigoyen 76,-42.76422,-65.03623,PUERTO MADRYN,Supermercado
1,1,REXONA,Desodorante en Crema en Pote Odorono Rexona 60 Gr,60.0 gr,77940704,102.0,2-1-014,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-U,Puerto Madryn,H.Yrigoyen 76,-42.76422,-65.03623,PUERTO MADRYN,Supermercado
2,2,SERENITO,Gelatina Frambuesa Serenito 105 Gr,105.0 gr,77968869,29.9,2-1-014,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-U,Puerto Madryn,H.Yrigoyen 76,-42.76422,-65.03623,PUERTO MADRYN,Supermercado
3,3,LA ANONIMA,Higado Precocido Congelado La Anonima x 1 Kg,1.0 kg,2013886000000,119.9,2-1-014,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-U,Puerto Madryn,H.Yrigoyen 76,-42.76422,-65.03623,PUERTO MADRYN,Supermercado
4,4,SIN MARCA,Palomita Premium 1 Kg,1.0 kg,2035530000006,469.9,2-1-014,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-U,Puerto Madryn,H.Yrigoyen 76,-42.76422,-65.03623,PUERTO MADRYN,Supermercado
5,5,BEST,Colita de Cuadril Best 1 Kg,1.0 kg,2035718000002,494.9,2-1-014,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-U,Puerto Madryn,H.Yrigoyen 76,-42.76422,-65.03623,PUERTO MADRYN,Supermercado
6,6,LA ANÓNIMA,Pepino La Anonima 1 Kg,1.0 kg,2037220000006,69.9,2-1-014,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-U,Puerto Madryn,H.Yrigoyen 76,-42.76422,-65.03623,PUERTO MADRYN,Supermercado
7,7,LA ANÓNIMA,Pan Flauta La Anonima 1 Kg,1.0 kg,2060040000000,108.0,2-1-014,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-U,Puerto Madryn,H.Yrigoyen 76,-42.76422,-65.03623,PUERTO MADRYN,Supermercado
8,8,KOLESTON,Kit de Tintura N°61 Rubio Ceniza Oscuro Koleston 1 Un,1.0 un,3614225108846,579.0,2-1-014,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-U,Puerto Madryn,H.Yrigoyen 76,-42.76422,-65.03623,PUERTO MADRYN,Supermercado
9,9,MAGISTRAL,Detergente Espuma Activa Brisa Marina Magistral 300 Cc,300.0 cc,7500435023115,87.0,2-1-014,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-U,Puerto Madryn,H.Yrigoyen 76,-42.76422,-65.03623,PUERTO MADRYN,Supermercado
10,10,PAMPERS,Pañal P Care Pants Pampers Premium 40 Un,40.0 un,7500435145923,965.0,2-1-014,precios_semana_20200413,2,1,La Anonima,S.A. Importadora y Exportadora de la Patagonia,AR-U,Puerto Madryn,H.Yrigoyen 76,-42.76422,-65.03623,PUERTO MADRYN,Supermercado
